support,itemsets,length
0.021687526974536037,frozenset({'3 Stripey Mice Feltcraft'}),1
0.03916702632714717,frozenset({'6 Ribbons Rustic Charm'}),1
0.025140267587397496,frozenset({'60 Cake Cases Vintage Christmas'}),1
0.035444540353905915,frozenset({'60 Teatime Fairy Cake Cases'}),1
0.027028485110056108,frozenset({'72 Sweetheart Fairy Cake Cases'}),1
0.04256581786793267,frozenset({'Alarm Clock Bakelike Green'}),1
0.025248165731549418,frozenset({'Alarm Clock Bakelike Ivory'}),1
0.03307078118256366,frozenset({'Alarm Clock Bakelike Pink'}),1
0.047313336210617174,frozenset({'Alarm Clock Bakelike Red'}),1
0.028808804488562798,frozenset({'Antique Silver T-Light Glass'}),1
0.02017695295640915,frozenset({'Area Patrolled Metal Sign'}),1
0.0741799741044454,frozenset({'Assorted Colour Bird Ornament'}),1
0.04607250755287009,frozenset({'Baking Set 9 Piece Retrospot'}),1
0.022874406560207165,frozenset({'Baking Set Spaceboy Design'}),1
0.022604661199827365,frozenset({'Bathroom Metal Sign'}),1
0.02789167026327147,frozenset({'Blue Harmonica In Box'}),1
0.022928355632283126,frozenset({'Charlotte Bag Apples Design'}),1
0.026273198100992663,frozenset({'Charlotte Bag Pink Polkadot'}),1
0.03156020716443677,frozenset({'Charlotte Bag Suki Design'}),1
0.02416918429003021,frozenset({'Childrens Apron Spaceboy Design'}),1
0.027999568407423393,frozenset({'Chilli Lights'}),1
0.0377643504531722,frozenset({'Chocolate Hot Water Bottle'}),1
0.02017695295640915,frozenset({'Chocolate This Way Metal Sign'}),1
0.022712559343979283,frozenset({'Christmas Craft Little Friends'}),1
0.03447345705653863,frozenset({'Clothes Pegs Retrospot Pack 24'}),1
0.028539059128182994,frozenset({'Colour Glass T-Light Holder Hanging'}),1
0.0324773413897281,frozenset({'Cook With Wine Metal Sign'}),1
0.02438498057833405,frozenset({'Cream Heart Card Holder'}),1
0.02400733707380233,frozenset({'Cream Sweetheart Mini Chest'}),1
0.03323262839879154,frozenset({'Dolly Girl Lunch Box'}),1
0.021417781614156237,frozenset({'Doormat Fancy Font Home Sweet Home'}),1
0.02589555459646094,frozenset({'Doormat Hearts'}),1
0.03495899870522227,frozenset({'Doormat Keep Calm And Come In'}),1
0.028646957272334916,frozenset({'Doormat New England'}),1
0.03107466551575313,frozenset({'Doormat Red Retrospot'}),1
0.02184937419076392,frozenset({'Doormat Spotty Home Sweet Home'}),1
0.02783772119119551,frozenset({'Doormat Union Flag'}),1
0.02039274924471299,frozenset({'Edwardian Parasol Natural'}),1
0.02379154078549849,frozenset({'Enamel Flower Jug Cream'}),1
0.020446698316788952,frozenset({'Fawn Blue Hot Water Bottle'}),1
0.024870522227017695,frozenset({'Feltcraft 6 Flower Friends'}),1
0.02352179542511869,frozenset({'Feltcraft Butterfly Hearts'}),1
0.022496763055675443,frozenset({'Feltcraft Cushion Owl'}),1
