StockCode,Description,TotalQuantity,AvgQuantity,StdQuantity,FirstSale,LastSale,DaysActive,DailyTurnover
10002,Inflatable Political Globe,823,16.8,25.53,2010-12-01 08:45:00,2011-04-18 12:56:00,138,5.96
10080,Groovy Cactus Inflatable,291,13.86,11.36,2011-02-27 13:47:00,2011-11-21 17:04:00,267,1.09
10120,Doggy Rubber,193,6.43,7.7,2010-12-03 11:19:00,2011-12-04 13:15:00,366,0.53
10123C,Hearts Wrapping Tape,5,1.67,1.15,2010-12-03 11:19:00,2011-03-31 13:14:00,118,0.04
10124A,Spots On Red Bookcover Tape,16,3.2,1.3,2010-12-06 13:13:00,2011-11-06 13:00:00,334,0.05
10124G,Army Camo Bookcover Tape,17,4.25,0.5,2010-12-02 13:14:00,2011-11-06 13:00:00,338,0.05
10125,Mini Funky Design Tapes,1226,19.16,26.0,2010-12-01 12:23:00,2011-12-09 10:13:00,372,3.3
10133,Colouring Pencils Brown Tube,2384,19.23,21.02,2010-12-01 12:15:00,2011-09-07 10:07:00,279,8.54
10135,Colouring Pencils Brown Tube,1938,16.02,25.22,2010-12-02 10:35:00,2011-12-07 13:35:00,370,5.24
11001,Asstd Design Racing Car Pen,1252,19.56,47.79,2010-12-05 11:10:00,2011-12-05 17:17:00,365,3.43
15030,Fan Black Frame,143,11.0,15.67,2011-03-24 13:37:00,2011-12-06 12:21:00,256,0.56
15034,Paper Pocket Traveling Fan,6419,70.54,183.89,2010-12-05 13:55:00,2011-11-28 13:56:00,358,17.93
15036,Assorted Colours Silk Fan,21876,67.31,165.65,2010-12-02 15:03:00,2011-12-02 17:06:00,365,59.93
15039,Sandalwood Fan,1559,21.96,49.03,2010-12-05 12:43:00,2011-12-08 13:50:00,368,4.24
15044A,Pink Paper Parasol,428,5.42,6.08,2010-12-21 14:26:00,2011-12-05 17:17:00,349,1.23
15044B,Blue Paper Parasol,307,6.4,9.82,2010-12-01 12:54:00,2011-09-28 15:50:00,301,1.02
15044C,Purple Paper Parasol,272,4.46,6.61,2010-12-06 14:51:00,2011-12-06 14:23:00,364,0.75
15044D,Red Paper Parasol,630,8.51,15.43,2011-01-17 16:06:00,2011-12-05 16:03:00,321,1.96
15056BL,Edwardian Parasol Black,2779,9.55,19.02,2010-12-01 09:41:00,2011-12-09 10:20:00,373,7.45
15056N,Edwardian Parasol Natural,3826,10.02,18.79,2010-12-01 09:41:00,2011-12-09 10:20:00,373,10.26
15056P,Edwardian Parasol Pink,769,5.61,11.0,2010-12-01 16:01:00,2011-12-08 13:50:00,371,2.07
15058A,Blue Polkadot Garden Parasol,148,2.9,2.87,2010-12-10 11:11:00,2011-11-23 12:48:00,348,0.43
15058B,Pink Polkadot Garden Parasol,115,2.8,3.43,2010-12-10 13:27:00,2011-11-17 12:55:00,341,0.34
15058C,Ice Cream Design Garden Parasol,193,6.43,7.04,2011-02-03 14:41:00,2011-09-26 16:13:00,235,0.82
15060B,Fairy Cake Design Umbrella,411,4.33,6.42,2010-12-02 14:30:00,2011-11-18 14:14:00,350,1.17
16008,Small Folding Scissor(Pointed Edge),2892,41.31,64.33,2010-12-09 14:10:00,2011-12-09 08:48:00,364,7.95
16010,Folding Camping Scissor W/Knif & S,30,10.0,3.46,2010-12-05 16:41:00,2011-03-28 14:27:00,112,0.27
16011,Animal Stickers,1773,37.72,35.5,2010-12-05 12:53:00,2011-12-07 12:41:00,366,4.84
16012,Food/Drink Sponge Stickers,1244,33.62,22.73,2010-12-02 13:32:00,2011-12-05 14:49:00,368,3.38
16014,Small Chinese Style Scissor,13328,246.81,608.05,2010-12-01 12:15:00,2011-12-09 08:48:00,372,35.83
16015,Medium Chinese Style Scissor,662,27.58,56.47,2010-12-09 14:10:00,2011-11-17 17:34:00,343,1.93
16016,Large Chinese Style Scissor,1273,19.58,29.78,2010-12-01 12:15:00,2011-12-09 12:31:00,373,3.41
16020C,Clear Stationery Box Set,6,3.0,1.41,2011-03-02 17:33:00,2011-04-07 19:27:00,36,0.17
16033,Mini Highlighter Pens,840,210.0,180.0,2010-12-12 10:48:00,2011-02-17 15:40:00,67,12.54
16043,Pop Art Push Down Rubber,98,49.0,35.36,2011-06-07 10:44:00,2011-06-09 19:33:00,2,49.0
16045,Popart Wooden Pencils Asst,8900,128.99,117.7,2010-12-22 14:28:00,2011-12-05 12:08:00,347,25.65
16046,Teatime Pen Case & Pens,67,4.19,5.98,2010-12-02 11:35:00,2011-11-28 11:26:00,360,0.19
16048,Teatime Round Pencil Sharpener,1437,29.33,28.56,2010-12-16 14:34:00,2011-11-25 11:02:00,343,4.19
16049,Teatime Gel Pens Asst,504,100.8,59.15,2011-04-26 11:51:00,2011-05-25 11:44:00,28,18.0
16052,Teatime Push Down Rubber,467,77.83,120.49,2011-01-26 12:29:00,2011-06-09 19:33:00,134,3.49
16054,Popart Rect Pencil Sharpener Asst,1166,35.33,22.26,2010-12-10 11:33:00,2011-12-04 13:59:00,359,3.25
16151A,Flowers Handbag Blue And Orange,49,16.33,23.12,2011-05-11 12:32:00,2011-05-25 10:02:00,13,3.77
16156L,"Wrap, Carousel",475,26.39,5.89,2011-01-07 09:40:00,2011-12-02 10:22:00,329,1.44
16156S,Wrap Pink Fairy Cakes,5800,34.73,55.82,2010-12-02 13:44:00,2011-12-08 12:29:00,370,15.68
16161G,Wrap Bad Hair Day,700,31.82,17.56,2011-03-15 11:45:00,2011-11-24 11:19:00,253,2.77
16161M,Wrap  Pink Flock,25,25.0,,2010-12-02 18:15:00,2010-12-02 18:15:00,0,inf
16161P,Wrap English Rose,7226,29.02,27.84,2010-12-02 18:08:00,2011-12-07 11:43:00,369,19.58
16161U,Wrap Suki And Friends,4075,30.41,34.05,2010-12-05 14:45:00,2011-12-02 16:34:00,362,11.26
16162L,The King Gift Bag,17,2.83,2.64,2011-06-10 11:29:00,2011-09-13 11:14:00,94,0.18
16162M,The King Gift Bag 25X24X12Cm,26,3.71,1.5,2011-07-19 12:47:00,2011-11-27 13:26:00,131,0.2
16168M,Funky Monkey Gift Bag Medium,329,16.45,9.32,2010-12-08 15:38:00,2011-12-08 16:22:00,365,0.9
16169E,Wrap 50'S  Christmas,4563,30.42,23.72,2011-07-21 13:06:00,2011-12-09 10:20:00,140,32.59
