StockCode,Description,Quantity,TotalAmount,InvoiceNo,AvgOrderValue
10002,Inflatable Political Globe,823,699.55,49,14.28
10080,Groovy Cactus Inflatable,291,114.41,21,5.45
10120,Doggy Rubber,193,40.53,29,1.4
10123C,Hearts Wrapping Tape,5,3.25,3,1.08
10124A,Spots On Red Bookcover Tape,16,6.72,5,1.34
10124G,Army Camo Bookcover Tape,17,7.14,4,1.78
10125,Mini Funky Design Tapes,1226,930.3,61,15.25
10133,Colouring Pencils Brown Tube,2384,1143.61,122,9.37
10135,Colouring Pencils Brown Tube,1938,1786.69,117,15.27
11001,Asstd Design Racing Car Pen,1252,1953.0,62,31.5
15030,Fan Black Frame,143,41.47,12,3.46
15034,Paper Pocket Traveling Fan,6419,697.06,91,7.66
15036,Assorted Colours Silk Fan,21876,16044.44,324,49.52
15039,Sandalwood Fan,1559,1133.15,70,16.19
15044A,Pink Paper Parasol,428,1248.28,78,16.0
15044B,Blue Paper Parasol,307,865.65,48,18.03
15044C,Purple Paper Parasol,272,782.4,60,13.04
15044D,Red Paper Parasol,630,1735.74,73,23.78
15056BL,Edwardian Parasol Black,2779,15218.67,291,52.3
15056N,Edwardian Parasol Natural,3826,20696.71,378,54.75
15056P,Edwardian Parasol Pink,769,4254.16,135,31.51
15058A,Blue Polkadot Garden Parasol,148,1104.6,51,21.66
15058B,Pink Polkadot Garden Parasol,115,866.25,41,21.13
15058C,Ice Cream Design Garden Parasol,193,894.35,30,29.81
15060B,Fairy Cake Design Umbrella,411,1482.87,95,15.61
16008,Small Folding Scissor(Pointed Edge),2892,360.71,70,5.15
16010,Folding Camping Scissor W/Knif & S,30,3.6,3,1.2
16011,Animal Stickers,1773,372.33,46,8.09
16012,Food/Drink Sponge Stickers,1244,261.24,35,7.46
16014,Small Chinese Style Scissor,13328,4335.76,54,80.29
16015,Medium Chinese Style Scissor,662,289.98,24,12.08
16016,Large Chinese Style Scissor,1273,1053.45,65,16.21
16020C,Clear Stationery Box Set,6,5.1,2,2.55
16033,Mini Highlighter Pens,840,100.8,4,25.2
16043,Pop Art Push Down Rubber,98,11.76,2,5.88
16045,Popart Wooden Pencils Asst,8900,380.0,68,5.59
16046,Teatime Pen Case & Pens,67,56.95,13,4.38
16048,Teatime Round Pencil Sharpener,1437,186.84,47,3.98
16049,Teatime Gel Pens Asst,504,82.08,5,16.42
16052,Teatime Push Down Rubber,467,105.29,6,17.55
16054,Popart Rect Pencil Sharpener Asst,1166,140.52,33,4.26
16151A,Flowers Handbag Blue And Orange,49,61.25,3,20.42
16156L,"Wrap, Carousel",475,199.5,18,11.08
16156S,Wrap Pink Fairy Cakes,5800,2331.0,167,13.96
16161G,Wrap Bad Hair Day,700,70.0,22,3.18
16161M,Wrap  Pink Flock,25,10.5,1,10.5
16161P,Wrap English Rose,7226,2990.92,248,12.06
16161U,Wrap Suki And Friends,4075,1687.5,134,12.59
16162L,The King Gift Bag,17,11.05,6,1.84
16162M,The King Gift Bag 25X24X12Cm,26,10.92,7,1.56
16168M,Funky Monkey Gift Bag Medium,329,138.18,20,6.91
16169E,Wrap 50'S  Christmas,4563,1892.46,149,12.7
16169K,Wrap Folk Art,200,84.0,8,10.5
16169M,Wrap Daisy Carpet,660,277.2,25,11.09
16169N,Wrap Blue Russian Folkart,25,10.5,1,10.5
16169P,Wrap Green Russian Folkart,50,21.0,2,10.5
16202A,Pastel Pink Photo Album,7,3.5,2,1.75
16202B,Pastel Blue Photo Album,29,14.5,2,7.25
16202E,Black Photo Album,15,7.5,3,2.5
16206B,Red Purse With Pink Heart,7,8.75,2,4.38
16207A,Pink Strawberry Handbag,13,38.35,5,7.67
16207B,Pink Heart Red Handbag,4,11.31,3,3.77
16216,Letter Shape Pencil Sharpener,3316,227.14,41,5.54
16218,Cartoon  Pencil Sharpeners,3760,253.2,50,5.06
16219,House Shape Pencil Sharpener,2915,309.9,47,6.59
16225,Rattle Snake Eggs,762,599.34,75,7.99
16235,Recycled Pencil With Rabbit Eraser,2665,525.75,80,6.57
16236,Kitty Pencil Erasers,1296,266.56,73,3.65
16237,Sleeping Cat Erasers,4598,886.08,162,5.47
16238,Party Time Pencil Erasers,1261,265.51,78,3.4
16244B,Maxwell 2 Tone Blue 60 Page Photo A,7,7.85,2,3.92
16248B,Blue Hole Punch,13,16.25,7,2.32
16254,Transparent Acrylic Tape Dispenser,31,27.91,9,3.1
16258A,Swirly Circular Rubbers In Bag,445,156.53,38,4.12
16259,Piece Of Camo Stationery Set,3380,326.56,31,10.53
17001,Heavens Scent Fragrance Oils Asstd,72,20.88,1,20.88
17003,Brocade Ring Purse,22963,5980.05,206,29.03
17007B,S/3 Pot Pouri Cushions Blue Colours,24,50.4,2,25.2
17011F,Origami Sandlewood Incense+Flower,80,62.15,6,10.36
17012A,Origami Vanilla Incense/Candle Set,270,244.9,24,10.2
17012B,Origami Jasmine Incense/Candle Set,455,422.55,36,11.74
17012C,Origami Lavender Incense/Candl Set,363,344.35,43,8.01
17012D,Origami Rose Incense/Candle Set,387,366.35,44,8.33
17012E,Origami Opium Incense/Candle Set,59,52.05,3,17.35
17012F,Origami Sandlewood Incense/Cand Set,365,329.05,42,7.83
17013D,Origami Rose Incense In Tube,532,257.88,11,23.44
17014A,Origami Vanilla Incense Cones,154,67.83,7,9.69
17021,Namaste Swagat Incense,2427,643.14,47,13.68
17028J,Incense Bazaar Peach,6,2.52,1,2.52
17038,Porcelain Budah Incense Holder,1501,138.1,19,7.27
17084A,Tranquility Masala Incense,200,42.0,7,6.0
17084J,Love Potion Masala Incense,225,47.25,8,5.91
17084N,Fairy Dreams Incense,1025,212.75,32,6.65
17084P,Dragons Blood Incense,349,73.29,13,5.64
17084R,Assorted Incense Pack,4032,760.32,27,28.16
17090A,Lavender Incense 40 Cones In Tin,109,107.45,10,10.74
17090D,Vanilla Incense 40 Cones In Tin,29,36.25,12,3.02
17091A,Lavender Incense In Tin,172,99.29,25,3.97
17091J,Vanilla Incense In Tin,2066,876.34,87,10.07
17096,Assorted Laquered Incense Holders,2516,443.76,13,34.14
17107D,"Flower Fairy,5 Summer B'Draw Liners",171,436.05,46,9.48
17109D,Flower Fairy Incense Bouquet,61,32.35,5,6.47
17129F,Blue Glass Gems In Bag,427,291.25,19,15.33
17136A,Blue Stones On Wire For Candle,404,33.75,17,1.99
17164B,Ass Col Small Sand Gecko P'Weight,29,12.18,9,1.35
17165D,Ass Col Large Sand Frog P'Weight,27,28.35,7,4.05
17174,Asstd Rasta Key-Chains,9,3.78,3,1.26
17191A,Rose Flower Candle+Incense 16X16Cm,4,15.0,2,7.5
18007,Essential Balm 3.5G Tin In Envelope,5856,383.76,17,22.57
18094C,White And Blue Ceramic Oil Burner,134,153.1,15,10.21
18097A,Pink Tall Porcelain T-Light Holder,5,12.75,4,3.19
18097C,White Tall Porcelain T-Light Holder,673,1471.35,52,28.3
18098C,Porcelain Butterfly Oil Burner,193,540.55,36,15.02
20615,Blue Polkadot Passport Cover,231,233.34,35,6.67
20616,Cherry Blossom Passport Cover,134,122.78,25,4.91
20617,First Class Passport Cover,66,137.74,26,5.3
20618,Queen Of The Skies Passport Cover,68,137.88,28,4.92
20619,Tropical Passport Cover,142,206.23,22,9.37
20622,Vippassport Cover,163,240.18,32,7.51
